ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
S1WH1,10000.0,215.0,,,22.0,,,130.0,21000.0,87.0,,,1919.0,0.0,1.0,2.0
3X638,,150.0,,30.0,16.0,,,32.0,12000.0,16.0,,,1920.0,0.0,1.0,2.0
286ZU,10500.0,417.0,,,5.0,,,,10500.0,9.0,4.0,5.0,1920.0,0.0,1.0,3.0
77LV8,4000.0,75.0,,20.0,9.0,5.0,4.0,25.0,10000.0,5.0,2.0,3.0,1916.0,0.0,1.0,2.0
4E3DO,3750.0,200.0,,,10.0,6.0,4.0,28.0,11200.0,30.0,3.0,27.0,1918.0,0.0,1.0,2.0
FPPCN,1000.0,75.0,,,9.0,,,18.0,10000.0,9.0,,,1919.0,0.0,1.0,2.0
TLQXD,,65.0,,15.0,7.24(p1),7.0,,,5000.0,9.0,1.0,8.0,1912.0,0.0,1.0,2.0
Q6KMO,,,,25.0,11.0,,,30.0,10000.0,12.0,,,1919.0,0.0,1.0,2.0
SJFY6,,,,15.0,7.29(p1),,,,10500.0,15.0,4.0,11.0,1918.0,0.0,1.0,2.0
VV8OZ,,200.0,,10.0,18.0,9.0,9.0,65.0,15000.0,8.0,,,1915.0,0.0,1.0,2.0
2MV1H,,200.0,,10.0,18.0,9.0,9.0,65.0,15000.0,8.0,,,1915.0,1.0,0.0,
IAD6E,,,,60.0,19.47(p1),,,,70000.0,4.0,4.0,0.001,1914.0,0.0,1.0,2.0
SE162,,,,20.0,7.67(p1),,,,18000.0,7.0,,,1920.0,0.0,1.0,2.0
B1UQD,1000.0,125.0,,50.0,11.39(p1),,,60.0,20000.0,40.0,4.0,36.0,1917.0,0.0,1.0,2.0
N67WN,,,,,8.31(p1),,,,,,,,,0.0,0.0,
BEM51,,180.0,,12.0,25.0,,,28.0,12200.0,25.0,,,1919.0,0.0,1.0,2.0
IIJO8,,180.0,,12.0,11.0,,,28.0,12200.0,25.0,,,1909.0,1.0,0.0,
8IMGC,,,,5.0,10.0,,,24.0,12000.0,12.0,,,1918.0,0.0,1.0,2.0
E44O6,5000.0,75.0,,10.0,10.0,4.0,6.0,18.0,5000.0,10.0,3.0,7.0,1912.0,0.0,1.0,2.0
YH2TH,3000.0,150.0,,10.0,9.0,5.0,4.0,,9000.0,15.0,,,1919.0,0.0,1.0,2.0
N5THB,2000.0,150.0,,20.0,9.88(p1),,,35.0,,6.0,5.0,1.0,1917.0,0.0,1.0,2.0
2KRLX,1000.0,584.0,,,19.0,,,48.0,26300.0,,7.0,,1917.0,0.0,1.0,2.0
ICCF8,8000.0,220.0,,10.0,20.0,10.0,10.0,70.0,22000.0,8.0,3.0,5.0,1920.0,0.0,1.0,2.0
OB4ZG,,,,10.0,20.0,10.0,10.0,,,8.0,3.0,5.0,,1.0,0.0,
1Y5E9,3333.0,100.0,,5.0,10.26(p1),9.0,,20.0,,,,,1910.0,0.0,1.0,2.0
Q3BD2,4167.0,,,20.0,11.0,,,30.0,12000.0,15.0,4.0,11.0,1918.0,0.0,1.0,2.0
AGO1J,4000.0,250.0,,10.0,12.0,7.0,5.0,49.0,12300.0,16.0,2.0,14.0,1920.0,0.0,1.0,2.0
