ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
ABLAR,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
UDO7B,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
2FWYV,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
4N54K,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
Q2PH9,,417.0,2788.12(p2),25.0,30.0,13.97(p1),13.83(p1),81.0,62500.0,17.0,3.99(p2),7.07(p2),,0.0,1.0,2.0
61RSM,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,2.0
ICO3P,,,1806.59(p2),,14.88(p1),9.05(p1),1.83(p1),35.70(p1),30000.0,30.0,3.61(p2),16.41(p2),,0.0,1.0,
1VEQ8,5800.0,500.0,5793.03(p2),,11.0,5.0,6.0,39.0,30000.0,20.0,5.0,15.0,1925.0,0.0,1.0,3.0
9JOFG,,,1806.59(p2),,14.88(p1),9.05(p1),1.83(p1),35.70(p1),30000.0,30.0,3.61(p2),16.41(p2),,0.0,1.0,
GVDFE,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
7TCE0,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
OKTVH,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,1.0
LZGLF,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
RQ6W3,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
O19TP,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
FRKHP,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
P8BTO,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
GLPLY,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
19GOE,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
9NWTA,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
299VR,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
TTJ69,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
TB1TS,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
R91IH,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
DZLVN,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
V97NP,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
GXB7C,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
EVCDJ,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,2.0
I2OHU,,,1288.47(p2),,8.31(p1),8.35(p1),2.14(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),1921.0,1.0,0.0,
C25H9,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
HIRT7,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
5YU60,2000.0,47.5,500.0,5.0,4.0,2.0,2.0,21.27(p1),3000.0,1.0,1.0,0.001,1916.0,0.0,1.0,2.0
8MGMF,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
U3UYH,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
Z7NCA,8000.0,208.3333333,6000.0,30.0,8.0,4.0,4.0,40.0,7000.0,8.0,3.0,5.0,1919.0,0.0,1.0,2.0
6K4GD,5000.0,583.3333333,5911.81(p2),,8.0,4.0,4.0,46.0,30000.0,45.0,4.0,41.0,1926.0,0.0,1.0,2.0
U6J85,5000.0,583.3333333,5911.81(p2),,8.0,4.0,4.0,46.0,30000.0,45.0,4.0,41.0,1926.0,0.0,1.0,2.0
2N1A2,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
CJU47,,,1960.64(p2),,9.88(p1),5.68(p1),0.73(p1),35.70(p1),,5.0,5.0,0.001,1920.0,0.0,0.0,
QRIZ7,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
N9K0L,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
ADMJ2,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,
TRSIK,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
JSFVU,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,1.0,0.0,
EAM9H,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
4HN2W,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,
K9ORO,7500.0,,5123.52(p2),30.0,14.0,6.08(p1),5.84(p1),23.78(p1),12000.0,6.0,6.0,0.001,1931.0,0.0,1.0,3.0
6NULM,,,1382.85(p2),40.0,18.0,10.0,1.0,35.0,15000.0,8.17(p2),2.79(p2),1.64(p2),1919.0,0.0,1.0,2.0
BYSI3,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
P4FWY,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
B32EA,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
TI1R6,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
YGW3W,5000.0,175.0,4600.0,,11.0,5.13(p1),4.16(p1),35.70(p1),,13.0,3.16(p2),5.82(p2),1922.0,0.0,1.0,2.0
N2DBN,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,
I8TLD,3300.0,175.0,2421.55(p2),,8.0,4.0,4.0,20.0,24000.0,8.0,2.0,6.0,1916.0,0.0,1.0,2.0
JP41P,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
EHHBE,,,1311.26(p2),,10.10(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,5.0
OZO4B,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
6YCDB,,350.0,3094.13(p2),,8.14(p1),8.79(p1),1.02(p1),35.70(p1),20000.0,21.0,8.0,13.0,1923.0,0.0,1.0,4.0
QJ0RM,,,1280.20(p2),,8.31(p1),7.84(p1),2.11(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,1.0
7WXFM,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,1.0,
ZHIL1,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
5DBKQ,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
CSG38,,,1280.20(p2),,8.31(p1),7.84(p1),2.12(p1),35.70(p1),,6.74(p2),3.48(p2),1.64(p2),,0.0,0.0,
7S2KZ,5000.0,225.0,5406.61(p2),15.0,8.14(p1),7.44(p1),0.61(p1),50.0,26000.0,17.0,5.0,12.0,1920.0,0.0,1.0,2.0
NM3S3,9000.0,,4838.37(p2),,11.0,5.0,6.0,70.0,25300.0,12.09(p2),6.0,1.64(p2),1919.0,0.0,1.0,2.0
